person_id,master_metadata_track_name,master_metadata_album_artist_name,total_minutes,repeat_count,days_listened,playlist_share,first_listened,last_listened,peak_month
p1,Lebanese Blonde,Thievery Corporation,20.121933333333335,5,4,0.0,2025-01-04 12:02:31+00:00,2025-01-26 07:00:41+00:00,2025-01
p1,Honesty,Billy Joel,19.684450000000002,8,8,0.0,2022-12-24 06:00:59+00:00,2025-05-10 12:17:46+00:00,2023-10
p1,Space Cowboy,Jamiroquai,19.34865,3,3,0.0,2025-01-11 21:57:40+00:00,2025-02-28 23:22:12+00:00,2025-01
p1,Just the Way You Are,Billy Joel,19.3066,4,4,0.0,2022-12-24 05:57:05+00:00,2024-04-11 01:22:53+00:00,2022-12
p1,Canned Heat,Jamiroquai,18.648550000000004,5,4,0.0,2025-01-04 07:01:59+00:00,2025-03-02 22:34:47+00:00,2025-01
p1,Reverie (arr. for flute and harp),Anonymous,17.552116666666667,5,4,0.0,2024-03-18 21:04:13+00:00,2025-04-11 06:13:36+00:00,2024-03
p1,Last Christmas,Wham!,17.523,4,3,0.0,2022-12-09 05:02:54+00:00,2023-12-01 06:06:40+00:00,2023-11
p1,The Sea,Morcheeba,17.364,3,3,0.0,2025-01-04 11:46:08+00:00,2025-01-24 02:10:32+00:00,2025-01
p1,Champagne Supernova - Remastered,Oasis,17.210500000000003,3,3,0.0,2024-12-13 23:38:42+00:00,2025-02-08 04:53:45+00:00,2024-12
p1,"The Birds, P. 154: 2. The Dove",Ottorino Respighi,16.99311666666667,10,6,0.0,2023-11-19 02:46:06+00:00,2024-10-05 00:47:12+00:00,2024-05
p1,All I Need (feat. Beth Hirsch),Air,16.9508,5,4,0.0,2025-01-04 07:05:31+00:00,2025-02-28 22:17:39+00:00,2025-01
p1,Uptown Girl,Billy Joel,16.8961,7,7,0.0,2022-12-22 11:55:08+00:00,2023-10-19 07:39:48+00:00,2023-01
p1,You May Be Right,Billy Joel,16.88,4,4,0.0,2022-12-24 06:31:09+00:00,2023-10-20 06:52:33+00:00,2023-10
p1,"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato - Live",Sergei Rachmaninoff,15.829133333333335,2,2,0.0,2024-06-07 06:55:30+00:00,2024-08-02 06:15:48+00:00,2024-06
p1,Only the Good Die Young,Billy Joel,15.704,4,4,0.0,2022-12-23 23:03:07+00:00,2023-10-19 08:38:34+00:00,2022-12
p1,Take on Me,a-ha,15.6999,5,5,0.0,2023-02-25 06:04:39+00:00,2025-06-02 08:33:43+00:00,2023-02
p1,Don't Know Why,Norah Jones,15.538366666666667,4,4,0.0,2025-02-08 05:19:17+00:00,2025-06-12 09:43:07+00:00,2025-02
