person_id,metric_name,metric_value_num,metric_value_text,metric_unit,metric_group,source_table,metric_layer
p2,coverage_cred_conf,0.7572239542806669,0.76,score,volume,derived,conf
p2,peak_month_minutes_raw,3372.642666666666,"3,373",minutes,volume,elicitation_periods.csv,raw
p2,peak_month_share_raw,0.03898880423259613,3.9%,percent,volume,derived,raw
p2,peak_month_tail,0.03898880423259613,3.9%,percent,volume,derived,tail
p2,peak_month_raw,0.0,2022-04,month,period,elicitation_periods.csv,raw
p2,dominant_daypart_raw,0.0,late night,label,period,derived,raw
p2,dominant_daypart_share_raw,0.4441381210778624,44.4%,percent,period,derived,raw
p2,daypart_conc_tail,0.4441381210778624,44.4%,percent,period,derived,tail
p2,exam_peak_share_raw,1.0,100.0%,percent,period,elicitation_periods.csv,raw
p2,exam_tail_ratio,1.053678143116935,1.05,ratio,period,derived,tail
p2,dominant_emotion_raw,0.2710995714189118,share_joy,label,emotion,elicitation_emotions.csv,raw
p2,dominant_emotion_display,0.2710995714189118,uplift,label,emotion,derived,raw
p2,top2_emotion_share_raw,0.4892353784818291,48.9%,percent,emotion,derived,raw
p2,emotion_conc_tail,0.17981053834936145,0.18,hhi,emotion,derived,tail
p2,emotional_diversity_raw,5.0,5,count,emotion,elicitation_emotions.csv,raw
p2,emotion_entropy_exp,1.9004731630796712,1.90,entropy,emotion,derived,exp
p2,upbeat_share_raw,0.4436609277137629,44.4%,percent,emotion,derived,raw
p2,upbeat_share_cred,0.4729118398850141,47.3%,percent,emotion,derived,cred
p2,heavy_share_raw,0.4172496575905027,41.7%,percent,emotion,derived,raw
p2,heavy_share_cred,0.398396722716163,39.8%,percent,emotion,derived,cred
p2,anchor_song_name_raw,0.0,Bags,song,song,elicitation_songs.csv,raw
p2,anchor_song_minutes_raw,1047.0730666666664,1047,minutes,song,elicitation_songs.csv,raw
p2,anchor_song_days_raw,86.0,86,days,song,elicitation_songs.csv,raw
p2,anchor_exposure_tail,0.0121044921885659,1.2%,percent,song,derived,tail
p2,intentional_song_name_raw,0.0,Bags,song,song,derived,raw
p2,intentionality_score_raw,5.697093486505405,5.70,score,song,derived,raw
p2,intentionality_score_cred,5.596251275496529,5.60,score,song,derived,cred
p2,intentional_song_repeat_count_raw,297.0,297,plays,song,elicitation_songs.csv,raw
p2,intentional_song_playlist_share_raw,0.0,0.0%,percent,song,elicitation_songs.csv,raw
